model_name,n_rows,n_countries,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
OLS_WGI_nocontrols_matched_wins,103,74,6.13499447939584,1.464415189656107,3.9410952856195265,0.5415902749797966,0.20627436967687568,0.0926740208485748
OLS_WVS_nocontrols_wins,103,74,6.508210488009235,1.9815266925356592,4.248047556496261,1.162542598658898,0.12183853690497162,0.19759914136421783
OLS_WGI_controls_matched_wins,96,69,6.680869193900155,2.1161669443016025,4.080562653212233,0.8342501985577967,-1.3118185818325745,2.635070101770663
OLS_WVS_controls_wins,96,69,6.705589646058522,2.248652551642227,4.015712842829174,0.8919009937664395,-1.3609652390219478,2.815156466314123
Ridge_WGI_nocontrols_matched_wins,103,74,6.268258488036407,1.3953800225069126,4.0044724434169465,0.47172284969762435,0.1679715522057979,0.052634158981643364
Ridge_WVS_nocontrols_wins,103,74,6.7516918972823365,1.6157838654227057,4.295901951753898,0.8880119349787133,0.03727808575368734,0.09782193998123802
Ridge_WGI_controls_matched_wins,96,69,6.236615368382035,1.847962784269979,3.9552613949760023,0.8605803703755373,-0.7261352141346835,1.626769782386057
Ridge_WVS_controls_wins,96,69,6.620088616541049,2.339118365475731,4.044945655572671,1.0158524545709937,-1.1344831287581303,2.473544031824672
Lasso_WGI_nocontrols_matched_wins,103,74,6.13497374103231,1.4727176472752181,3.9346539363041204,0.5452142438218353,0.20660165944038686,0.0944738567764101
Lasso_WVS_nocontrols_wins,103,74,6.507968021059843,1.9794777712281209,4.247028886025573,1.1605290348941795,0.1218489894138876,0.19711202850240628
Lasso_WGI_controls_matched_wins,96,69,5.523395441640503,1.6909152657466273,3.686189045584249,0.748334008811583,-0.05090428671544376,0.413094525385391
Lasso_WVS_controls_wins,96,69,5.571510763460714,1.9398969329930633,3.5937155361290847,0.8373862814351859,-0.013252727516734609,0.3319113524728739
RF_WGI_nocontrols_matched_wins,103,74,6.573935625089378,1.744371315580949,3.9854108012773777,0.7508899678223002,0.06182758072751795,0.30650763445350926
RF_WVS_nocontrols_wins,103,74,7.362078683009344,2.0623003245630636,4.763751914078496,1.0210316549516378,-0.13698914099851725,0.2270754800529766
RF_WGI_controls_matched_wins,96,69,6.3260186567395165,1.860928886097766,3.8827578986626916,0.8476167425137726,-0.5198553191536783,0.987382945097676
RF_WVS_controls_wins,96,69,6.371967946232751,1.9255260019930684,3.8855422999999263,0.8498475562840488,-0.5121294816004108,0.930872823915258
RF_fixed_WGI_nocontrols_matched_wins,103,74,6.426440685424308,1.9826631155301064,3.783423499967955,0.7251629118674486,0.11506730049043186,0.31460792576777213
RF_fixed_WVS_nocontrols_wins,103,74,6.806166194645857,2.083813802662686,4.380431575194886,1.0901006704330392,0.039104037231135536,0.23098167188108182
RF_fixed_WGI_controls_matched_wins,96,69,6.008029437740246,2.1752644248088058,3.843472340378547,0.9164880055961905,-0.16684420794515778,0.41343661136750665
RF_fixed_WVS_controls_wins,96,69,6.475319200502722,1.9142738161377537,3.9454125499767643,0.9948590470825542,-0.6609878788431216,1.1485511012744996
XGB_WGI_nocontrols_matched_wins,103,74,7.563156423634195,0.8512258892932082,4.115368912599446,0.29629727906670617,-0.3586502143491468,0.5788569261393458
XGB_WVS_nocontrols_wins,103,74,8.870133917041738,1.8852521477189992,5.199214751490226,1.0460927909153297,-0.6906448740441438,0.3167788488394702
XGB_WGI_controls_matched_wins,96,69,6.023290911824704,1.6996225668402039,3.8154369598868287,0.8113418386250575,-0.35902457841400487,0.811956021382683
XGB_WVS_controls_wins,96,69,6.543177686013041,1.712812956012417,4.124267379073948,0.6829668169133962,-0.6942018519842208,1.1395456952866578
XGB_fixed_WGI_nocontrols_matched_wins,103,74,7.0216545854930335,1.0450365319956254,4.11133384165907,0.2537278004722291,-0.14691721357583393,0.4624335464781234
XGB_fixed_WVS_nocontrols_wins,103,74,8.081901861123375,1.996646170775237,5.08288943934829,0.8749629441802171,-0.38465234927463376,0.27534355413308803
XGB_fixed_WGI_controls_matched_wins,96,69,5.656666852425946,1.3362300189073013,3.6107514495130433,0.4904146898300829,-0.1935388990951668,0.5541555109267979
XGB_fixed_WVS_controls_wins,96,69,5.98505087160806,1.8478810366525555,4.006236819395149,0.8651011724871971,-0.3693260148830776,0.8450355535482769
