model_name,n_rows,n_countries,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
OLS_WGI_nocontrols_max_wins,4937,198,6.847551938593162,0.28471207907583784,4.240982909406358,0.13053138575110368,0.03718699055331407,0.01340936920418597
OLS_WVS_nocontrols_wins,103,74,6.508210488009235,1.9815266925356592,4.248047556496261,1.162542598658898,0.12183853690497162,0.19759914136421783
OLS_WGI_controls_max_wins,4009,174,5.683308928182312,0.30540050954823533,3.4363644586945115,0.05748551551346757,0.24221178951610103,0.01501989532242421
OLS_WVS_controls_wins,96,69,6.705589646058522,2.248652551642227,4.015712842829174,0.8919009937664395,-1.3609652390219478,2.815156466314123
Ridge_WGI_nocontrols_max_wins,4937,198,6.850745178978509,0.2931305490249035,4.237574931950875,0.13526229402096226,0.03642667000516882,0.01070997014093452
Ridge_WVS_nocontrols_wins,103,74,6.7516918972823365,1.6157838654227057,4.295901951753898,0.8880119349787133,0.03727808575368734,0.09782193998123802
Ridge_WGI_controls_max_wins,4009,174,5.68623627085309,0.3195310119072283,3.430628285551003,0.0677798542023876,0.24168935463100474,0.011957548365615474
Ridge_WVS_controls_wins,96,69,6.620088616541049,2.339118365475731,4.044945655572671,1.0158524545709937,-1.1344831287581303,2.473544031824672
Lasso_WGI_nocontrols_max_wins,4937,198,6.847475579746356,0.28518892129683066,4.240593726220827,0.13076237470330493,0.03721630423308116,0.013269927345721778
Lasso_WVS_nocontrols_wins,103,74,6.507968021059843,1.9794777712281209,4.247028886025573,1.1605290348941795,0.1218489894138876,0.19711202850240628
Lasso_WGI_controls_max_wins,4009,174,5.687570346893494,0.31696555338182664,3.43372666231121,0.06832349999597052,0.2412799325340163,0.012979222439413648
Lasso_WVS_controls_wins,96,69,5.571510763460714,1.9398969329930633,3.5937155361290847,0.8373862814351859,-0.013252727516734609,0.3319113524728739
RF_WGI_nocontrols_max_wins,4937,198,7.394856869588139,0.19975241231044016,4.64714178698495,0.10540817568729992,-0.12530233129233848,0.05602840072522944
RF_WVS_nocontrols_wins,103,74,7.362078683009344,2.0623003245630636,4.763751914078495,1.0210316549516378,-0.13698914099851742,0.2270754800529766
RF_WGI_controls_max_wins,4009,174,5.342388136941338,0.24433083051934987,3.07241029940886,0.08680960139378553,0.3293689707917678,0.029510364643918693
RF_WVS_controls_wins,96,69,6.371967946232752,1.9255260019930682,3.8855422999999263,0.8498475562840485,-0.5121294816004112,0.9308728239152582
RF_fixed_WGI_nocontrols_max_wins,4937,198,6.81367855110549,0.2775326489670973,4.233229315817316,0.13409148936683077,0.046552632158826324,0.017259782681715564
RF_fixed_WVS_nocontrols_wins,103,74,6.806166194645859,2.083813802662686,4.380431575194885,1.0901006704330383,0.039104037231135445,0.23098167188108168
RF_fixed_WGI_controls_max_wins,4009,174,5.6490578040523065,0.35646468763687644,3.3892954672645663,0.10344828524728583,0.25212549805693907,0.01461094819641652
RF_fixed_WVS_controls_wins,96,69,6.475319200502722,1.914273816137754,3.9454125499767647,0.9948590470825543,-0.660987878843122,1.1485511012745004
XGB_WGI_nocontrols_max_wins,4937,198,6.820787497643726,0.22408892364063282,4.221949985320714,0.10584754849447897,0.04356839781583888,0.03324676478745187
XGB_WVS_nocontrols_wins,103,74,8.870133917041738,1.8852521477189992,5.199214751490226,1.0460927909153297,-0.6906448740441438,0.3167788488394702
XGB_WGI_controls_max_wins,4009,174,5.472165197049209,0.3217924818235009,3.2505705676796817,0.08569996514682565,0.29758047482904804,0.023018931518431967
XGB_WVS_controls_wins,96,69,6.543177686013041,1.712812956012417,4.124267379073948,0.6829668169133962,-0.6942018519842208,1.1395456952866578
XGB_fixed_WGI_nocontrols_max_wins,4937,198,6.881746010372946,0.21667331343702612,4.253261320222516,0.10790673817547747,0.02607479065393443,0.04000660624254107
XGB_fixed_WVS_nocontrols_wins,103,74,8.081901861123375,1.996646170775237,5.08288943934829,0.8749629441802171,-0.38465234927463376,0.27534355413308803
XGB_fixed_WGI_controls_max_wins,4009,174,5.498487055834896,0.26926849870850006,3.2310897277363724,0.06951728003295168,0.289907857304428,0.028375022103078
XGB_fixed_WVS_controls_wins,96,69,5.98505087160806,1.8478810366525555,4.006236819395149,0.8651011724871971,-0.3693260148830776,0.8450355535482769
