model_name,n_rows,n_countries,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
OLS_WGI_nocontrols_matched,103,74,26.26740482786571,34.47555961396002,10.486347606145417,7.020666580959875,-0.756321438577815,0.6152314691246629
OLS_WVS_nocontrols,103,74,26.275413465030045,34.898114163988986,11.314838417744603,7.301073407552587,-0.7306998227496262,0.6249947818057096
OLS_WGI_controls_matched,96,69,50.96386917584353,49.423355550718334,16.2803656673603,11.842661098806046,-243.884359226918,481.5822832303676
OLS_WVS_controls,96,69,49.0344558374684,43.41908477181065,17.892681312508465,9.37599910896227,-183.61707233592594,356.7598182945031
Ridge_WGI_nocontrols_matched,103,74,25.65824766122278,34.86101801357369,10.658989505823172,6.900630158721951,-0.5021407343050068,0.4622341456093656
Ridge_WVS_nocontrols,103,74,26.104247474943698,34.94101170573642,11.140655799774827,7.249610331134639,-0.6429731439837768,0.523551739725936
Ridge_WGI_controls_matched,96,69,29.04195248939147,34.844774641798615,11.059487729063722,7.457311635257481,-12.242176760997022,22.050267001123864
Ridge_WVS_controls,96,69,33.64693820435954,35.6301441252079,12.34108740151895,7.784076294368481,-38.666433518569825,74.33629989813268
Lasso_WGI_nocontrols_matched,103,74,26.031900300320494,34.60915698534957,10.725983577801621,6.846957086170452,-0.6581404953344888,0.5492926458018672
Lasso_WVS_nocontrols,103,74,26.109351921309838,34.98110992250967,11.182371452561725,7.357461944559691,-0.6368368069739677,0.5165315234697471
Lasso_WGI_controls_matched,96,69,49.542465836814,49.870084098846704,16.34139169239902,11.619405922250458,-237.01025572582057,470.1007469714169
Lasso_WVS_controls,96,69,38.609916886969486,37.12583686606716,13.866065616355858,7.912770788760136,-74.46846151942637,145.18920026927825
RF_WGI_nocontrols_matched,103,74,36.76904791912476,31.923111974117074,12.521203572573613,7.3571954090890666,-12.96917829318484,15.707375546025984
RF_WVS_nocontrols,103,74,37.66004547498969,32.543650798797174,13.729671875367904,8.312450992325832,-19.48122147557313,28.553908344915726
RF_WGI_controls_matched,96,69,33.503124093215845,33.5904913372788,10.768795569318877,7.607866682828383,-22.604597957300108,42.06692197717613
RF_WVS_controls,96,69,33.43518332881059,33.82588364671616,10.756014251498181,7.5822412227437175,-22.336489903763365,41.66046892978568
XGB_WGI_nocontrols_matched,103,74,42.11698197528684,42.68264973251378,11.986310599899848,9.735405912031704,-56.95378068070288,113.77380281022081
XGB_WVS_nocontrols,103,74,43.05235161276264,42.12364905153324,13.029759744661131,9.506067134522446,-56.07383546466773,111.41299114216409
XGB_WGI_controls_matched,96,69,53.67833364365843,32.7382115473663,15.335999848078155,8.08123382502982,-148.92883221135864,248.20603701989413
XGB_WVS_controls,96,69,53.77916573845274,33.72901887693374,15.600463773677848,8.225471783395156,-156.0589078019854,269.80800480694444
